Question,Answer,Category,Crop,QueryType
asking about the treatment of pig disease,answer is given in details,General,General,General
asking about dose of dolomite in potato,suggested dose of dolomite as 40kg/bigha,General,General,General
wanted to know names of hybrid varities of musturd,advised to use ts-38 ts-36 or voruna,General,General,General
asking about the seed rate of potato.,suggested him the seed rate of potato is 22.5 to 25 qtl / hacter.,General,General,General
asking about fungal wilt problem in brijal,suggested to soil drenching with bavistin @ 1gm/litre of water,General,General,General
bacterial wilt in tomato,spray streptomycin @ 1g/10lit,General,General,General
query regarding control measures of bacterial blight in brinjal,suggested streptomycin @ 2ml per litr of water,General,General,General
query related to fishery scheme,explained in detail,General,General,General
query regarding pest control measures of brinjal,suggested desis @ 2ml per litr of water,General,General,General
asking about use of streptocyclin,explain details,General,General,General
asking about seed treatment,advice to treatment with indofil m 45@2gm/l water,General,General,General
fertilizer requirment in mustard,"adviced to apply 12 kg urea, 30 kg ssp, 3 kg mop and 1.30 gm borax per bigha",General,General,General
asking about bacterial wilt problem,advice to spray agromycin @1gm/10 l water,General,General,General
asking about the treatment of fever of a cow.,suggested to administer paralgin-np bolus @ 1 bolus/100kg body wt.daily  sos.,General,General,General
asking about fertilizer dose of carrot,"suggested fertilizer dose as urea-4kg,dap-13kg,mop-15kg,borax-1kg,compost-1 tone/bigha",General,General,General
wilt in brinjal,spray streptomycin @ 1g/10lit,General,General,General
asking about pest problem,advice to spray furadon@40 gm/plant,General,General,General
asking about seeds & seed rate of mustard,suggested varieteis as m-27 & baruna.seed rate 1.25kg/bigha,General,General,General
asking about the source of information of banraja poultry breed .,"suggested to contact the farm manager, sird, khanapara.",General,General,General
asking about the variety of lentil,"advised to grow variety like-b-77,l-9-12,pl-406",General,General,General
asking about leaf eaters problems,advice to spray malathion 50 ec@1.5g/l water,General,General,General
asking for disease control,adviced for application of streptomycin @ 2 gm/litre of water,General,General,General
query regarding pest control in potato,suggested malathion 5 % dust @ 3kgs / bigha to be applied 4 days before planting,General,General,General
query regarding farm machinaries in paddy,explained details,General,General,General
asking about variety of lentil,"advised to grow recommended variety like-b-77,l-9-12,pl-406,pl-81-4 etc",General,General,General
asking recommended fertilizer dose for tomato,"suggested recommended fertilizer dose like- urea @ 22 kilogram,ssp @ 50 kilogram,mop @ 13 kilogram,compost @ 2-3 quintle/bigha",General,General,General
asking about culture practice of onion,explained details,General,General,General
asking about cultural practices of onion,explain details,General,General,General
asking about micronuitrient for cowpea,suggested to spray green harvest all crops @ 2gm/litre of water,General,General,General
asking about cabbage semi looper problem in cabbage,suggested to spray profex super @ 2ml/litre of water,General,General,General
fertilizer requirment in mustard,"adviced to 12 kg urea, 30 kg ssp, 3 kg mop and 1.3 kg borax per bigha",General,General,General
asking about the nutrition of a cow.,suggested to administer calcium syrup as well as mineral mix. daily .,General,General,General
asking about the fertilizer doses in potato.,"suggested to apply urea-19 kg, super-45kg, potash-12 kgper bigha.",General,General,General
asking about the cultural method for mustard,explain in details,General,General,General
asking about leaf rot problem in palak,suggested to spray bavistin @ 1gm/litre of water,General,General,General
fertilizer dose of mustard,"12kg urea,3kg ssp,3kg mop,1.5kg borax/bigha",General,General,General
asking about treatment of weakness in cow.,suggested to inject tribivet injection @ 8 ml at every alternate day.,General,General,General
asking about cultural practices of broccoli,explained in details,General,General,General
asking about the variety of onion.,"advised him to select pusa red,pusa white & pusa madhuri.",General,General,General
asking about fungal wilt problem,advice to spray bavistin@ 2 gm/l water,General,General,General
asking about to control termite in marigold,advised to spray metarhizium 2gm/l,General,General,General
asking about the fertilizer dose of potato,"advised to apply urea, ssp and mop @ 19,45 12 kg /bigha respectively",General,General,General
pest problem in sugarcane,adviced to apply malathion 50 ec @ 2 ml per liter of water,General,General,General
asking about bordeaux mixture use in betelvine,explain details,General,General,General
asking about fertilizer dose of potato,explained him in details,General,General,General
asking about variety of wheat,suggested variety as sonalika,General,General,General
low milk production,advice to give 1. ostocalcium vet 1 l mixed with 30 ml of vimeral and give 60 ml per day for 15 days,General,General,General
asking about stoking ratio of fish,explained details,General,General,General
asking about fertilizer dose of arecanut,"adviced to apply urea 200 gm, ssp 250 gm, mop 230 gm and fym 15 kg in ring method",General,General,General
asking about fertilizer dose of mustard,"adviced to apply urea 12 kg, ssp 30 kg, mop 3 kg and borux 1 kg / bigha",General,General,General
asking about seeds of boro rice,explain details,General,General,General
asking about treatment of silent heat in cow.,suggested to wait for 5 days because the next heat is coming within 5 days.,General,General,General
asking about cultural practices of capsicum,explained him in details,General,General,General
asking for bacterial wilt,drench the soil with agromycin @ 1 gm per 10 litre of water,General,General,General
asking for rotting problem,drench the soil with streptomycin @ 1 gm per 10 litre of water,General,General,General
asking about some micronutrient for brinjal,advised to apply tracel @ 2 gram/green harvest crops booster @ 1 gram / litre of water,General,General,General
asking about fertilizer application in coconut,"adviced to apply urea 750 gm, ssp 1250 gm, mop 900 gm and borux 25 gm in ring method",General,General,General
diseases in poultry,advice to give 1.lixen powder @ 1 g per 50 birds for 5 days with water,General,General,General
asking about the field preaparation of mustard,suggest him the recomanded fertilizer dose,General,General,General
asking about the banana  fungal wilt,appplication of blitox 50 2 gram per litre of water,General,General,General
pest problem in cucumbeb,adviced to spray malathion 50 ec @ 2ml per litre of water,General,General,General
asking about cultural practices of mustard,explained him in details,General,General,General
asking about cultural practices of onion,explained in details,General,General,General
asking about fertilizer dose of mustard,"suggested fertilizer dose as urea-18kg,ssp-33kg,mop-9kg,borax-1.5kg/bigha",General,General,General
pest infestation in potato seed,adviced to apply malathion powder @ 100 gm per 100 kg of potato,General,General,General
asking for cutural practices,explain briefly,General,General,General
asking for availibility of thresher,suggested properly,General,General,General
wanted to know fertlizer required for one bigha,advise to apply 12 kg urea 30 kg super 3 kg potash and 1.3 kg borax,General,General,General
asking about cultural practices of sugarcane,explained in details,General,General,General
wilt in tomato,expalined in details,General,General,General
abnormal production in one month period,the seeds were 2 nd generation of an hybrid variety. and explained in details,General,General,General
growth promoter in chillies,spray tracel2 @ 2gm/lit,General,General,General
asking about aphids problem,advice to spray malahion 50 ec@2ml/l water,General,General,General
asking about nursery of boro rice,explained him in details,General,General,General
asking about field prepartion,explain details,General,General,General
asking about the treatment of skin infection of a goat.,suggested to inj neomec @ 1ml s/cly per 25kg body wt. weekly interval.,General,General,General
asking about seed treatement before planting potato,advised to use 2 gram indofil m- 45 per litre for 10 minutes,General,General,General
asking about whether poultry dung can use as fertilizer or not.,poultry dung can use as fertilizer.,General,General,General
asking about blight in tomato,advised to spray indofil 2ml/l,General,General,General
asking about cultural practices of capsicum,explain details,General,General,General
asking about leaf caterpiller in mustard,advised to spray rogor 2ml/l,General,General,General
asking about fruit fly problem in bottle gourd,suggested to spray malathion 50ec @ 2ml + 1gm of molases/litre of waterr,General,General,General
asking about stem rot problem in palak,suggested to spray bavistin @ 1gm/litre of water,General,General,General
asking about fertilizer dose of banana,explained in details,General,General,General
asking about leaf minor problem in lemon,suggested to spray alfa plus @ 2ml/litre of water,General,General,General
asking about cultural practices of pumpkin,explained him in details,General,General,General
asking about the disease of brinjal,advised to apply indofil m-45 @ ml/litres of water,General,General,General
chillies flower dropping,application of meghabor @ 2 gram per litre of water,General,General,General
asking about seed requirement of coriander for 2 kathas of land,adviced to apply 500 gm,General,General,General
fungal rot in beans,apply captaf @ 2gm/lit at the bese,General,General,General
asking about the fertilizer dose of mustard,given him in details,General,General,General
query regarding pest control in brinjal and application of vitamin,suggested classic 20 @ 2 ml per litr of water and vitamin - tracel 2 @ 2gm per litr of water,General,General,General
asking about cultural practices of potato,explain detail,General,General,General
wilting of brinjal plant,adviced to spray bavistin @ 2 gm per litre of water,General,General,General
asking about fertilizer dose for potato,"adviced apply urea 19 kg, ssp 45 kg, mop 12 kg and borux 1 kg per bigha",General,General,General
asking about the bottle gourd fruits borer,application of quinolphos @ 2 ml per litre of water,General,General,General
asking about the fish cum paddy culture,explain in detail,General,General,General
asking about the yellowing of leaf in arecanut,application of blitox 50 ec,General,General,General
asking about the control of epilechna beetle in brinjal,advised to spray superkiller(cypermethrin 25 ec) @ 1.5 ml / litre of water,General,General,General
asking about the flower dropping problem in rose,application of meghabor @ 2 gram per litre of water,General,General,General
control of leaf spot in peas,advised to apply indofil m-45 @ 2 gram / litre of water,General,General,General
asking about cultural practices of poato,explain details,General,General,General
asking about fertilizer dose for coconut,"adviced to apply urea 300 gm, ssp 500 gm, mop 350 gm and borux 25 gm in ring method",General,General,General
asking about sawfly infect in mustard,advised to rogor 2ml/l,General,General,General
asking about the govt. scheme regarding green house,tell him details,General,General,General
asking about stem rot of cabbage,advised to spray bavistin 2gm/l,General,General,General
asking about the treatment of milk fever in a cow.,suggested to contact the local vety. doctor immidiately.,General,General,General
asking about the mustard cultivation practices,explian in details,General,General,General
asking about fertilizer dose for mustard,explain details,General,General,General
asking about the brinjal fruts and shoot borer problem,application of rocket @ 2 ml per litre of water,General,General,General
asking bout cultural practices of onion,explained him in details,General,General,General
pest attack @ training exposure,explained in details,General,General,General
vit. for chilli,spray green harvest @ 1.5 gm /lit water,General,General,General
asking about micronuitrient for cabbage,suggested to spray tracel-2 @ 2gm/litre of water,General,General,General
diseases in mustard,transfered to expert,General,General,General
asking about the treatment of white diarrhoea in poultry farm.,suggested to apply the lixen pow.@ 1 gm/lit of water and sulcoprim pow.@ 1gm/lit of water.,General,General,General
asking about the treatment of fever in a pig.,suggested to administer paral;gin-np bolus @ 1 bolus/100kg body wt.,General,General,General
asking about the control of phytophthora leaf rot in betel bine,advised to apply 1% bordeaux mixture @ 200 ml / plant at an interval of 15 days for two times,General,General,General
pest problem in bottle gourd,adviced to apply rogor @ 2 ml per liter of water,General,General,General
boro rice seed treatment,seed treatment to be done by 3 gms of carbendazim / 1 kg of seed and explained in details,General,General,General
asking about seeds of fodder for goat.,"suggested to contact with veterinary dyspensary ,chenikukhi guwahati for fooder seeds.",General,General,General
problem of brinjal cracking,adviced to apply dried cowdung,General,General,General
pest problem in chilli,adviced to apply rogor @ 2 ml per liter of water followed by sparying of tracel 2 @ 2 gm per liter of water,General,General,General
asking for weed control,advised to spray fluchloralin 45%ec @1.5kg/hectore as pre emergence spray one day before sowing be incorporated with light hoeing,General,General,General
asking about the,advised to apply  bavistin @ 2 gram /litres of water followed by tracel-2 @ 2ml /litres of water,General,General,General
asking about the pest control in brinjal,advised to apply ragor 35 ec @ 2 ml /litres of water,General,General,General
asking about the paddy cultivation preactices,explain in details,General,General,General
package of practice,expained in details,General,General,General
asking about the fterilizer dose for mustard,"suggest him to apply urea 12 kg, ssp 30 kg, and mop 3 kg per bigha of land",General,General,General
asking about different schemes of agril. dept.,explained details,General,General,General
asking about the paddy cultivation practices,explain in details about the rice cultivation practices,General,General,General
asking about the fish disease,explain in detail,General,General,General
want to know about variety of boro paddy,"adviced him to cultivate ir 30, caveri or jaymoti",General,General,General
asking for stem borer problem,suggested properly,General,General,General
asking about fertilizer dose for capsicum,"adviced to apply 20 kg urea, 33 ssp, 13 kg mop and 2 quintal fym",General,General,General
asking age of seedlings for transplanting of boro rice,suggested him 30 to 35 days,General,General,General
asking for chemical fert dose,"suggested him to apply 19 kg urea, 45 kg ssp and 12 kg mop per bigha",General,General,General
want to know about fertilizer requirment in mustard,"adviced to apply 12 kg urea, 30 kg ssp, 3 kg mop and 1.5 kg borax per bigha",General,General,General
query regarding coconut cultivation,explained details,General,General,General
asking about the brinjal nutrient managment,application of trecel @ 2.5 gram per litre of water,General,General,General
asking about the gladiolus problem,explain in details,General,General,General
cracking of fruit,apply borax 50gm + 250 gm/ plnt in ring method,General,General,General
asking about fertilizer doses of banana,explained him in details,General,General,General
asking about fertilizer doses of banana,"suggested fertilizer dose as urea-120gm,ssp-210gm,mop-275gm,compost-2kg.apply as ring method 1 ft from the base of the plant.",General,General,General
asking about chilli disease,advice to spray bavistin @1gm/l water,General,General,General
asking about irrigation problems,explain details,General,General,General
asking about the disease of brinjal,advised to apply bavistin @ 2ml /litres of water,General,General,General
nematode control measure,apply furadon 3 kg bigha,General,General,General
asking about the control of red ant in potato,advised to apply malathion 5% dust @  4 kilogram / bigha 7-10 days before planting,General,General,General
asking about the brinjal flowering problem,application of multigene 2.5 gram per litre of water,General,General,General
asking for bacterial witl problem,drench the soil with streptomyci @ 1 gm per 10 litre of water,General,General,General
root rot in chilli,advised to drench the soil along with root portion with captan @ 3 gram / litre of water mixture,General,General,General
insect problem,spray malathion 50 ec @ 2ml/litre water,General,General,General
asking about fertilizer dose of beans,explained him in details,General,General,General
asking for some market information about potato,explained in details,General,General,General
asking about the rotting in cucumber,application of captaf @ 2 gram per litre of water,General,General,General
asking about agril. training,adviced to contact with kvk,General,General,General
asking  about irrigation,advice to spray three irrigation,General,General,General
asking about fertilizer of coconut,suggest him recommended dose for coconut,General,General,General
query regarding tomato cultivation,explained details,General,General,General
asking about the breeding of a rabit.,explain in details.,General,General,General
asking about the fertilizer dose of arecanut.,"advised him to apply urea-200 gm,ssp-250 gm ,180 gm /plant in 2 split dose.",General,General,General
vitamin for mustard crop,apply green harvest all crops @ 2gm/litre of water,General,General,General
asking about vety problems,transfer to vety expert,General,General,General
asked about how to reduce bacteraial infection in fish..,advised him to apply lime and kmno4 at required level,General,General,General
querry about tomato & potato,forwarded to the expert,General,General,General
diseases in papaya,adviced to apply bavistin @ 2 gm per liter of water,General,General,General
asking about recommended fertilizer dose for mustard,"advised to apply recommended dose like-urea @ 12 kilogram ,ssp @ 30 kilogram ,mop @ 3 kilogram ,borax @ 1-1.3 kilogram / bigha,compost @ 2-3 quintle/ bigha",General,General,General
asking about micronutrient for knol khol,advised to apply tata tracel @ 2 gram / litre of water,General,General,General
asking about the control of worm infestation of a jersy cross cow.,suggested to administer panacur 1.5 gm/ 300kg body wt. at empty stomach,General,General,General
asking about the various cultural practices of banana,given in details,General,General,General
asking about time of sowing,advice to sown in oct-nov,General,General,General
asking about the growth promoters,explain in details,General,General,General
asking about cultural practices of knol-khol,explained him in details,General,General,General
asking about the fertilizer dose for potato,explain in details,General,General,General
asking about cultural practices of arecanut,explained him in details,General,General,General
control of mosaic in papaya,advised to spray rogor 40 ec @ 2 ml / litre of water,General,General,General
asking fert dose,"suggested him to apply 12 kg urea, 18 kg ssp and 2 kg mop per bigha",General,General,General
querry regarding horticulture,forwardred to the expert,General,General,General
query to control fruit borer of brinjal,adviced to spray decis 2ml/l,General,General,General
asking about cultural practices of papaya,explained in details,General,General,General
pest problem in bottle gourd,adviced to apply rogor @ 2 ml per liter of watre,General,General,General
query related to nutrition of cow,transfered to expert,General,General,General
problem of spacing in banana.,advised him to apply 1.8 m llength & 1.8 m breath.,General,General,General
asking about the pest control in brinjal,advised to apply ragor 35 ec @ 2 ml/litres of water,General,General,General
control of panama disease in banana,suggested to make  10 centimetr hole in diseased corm at an angle of 45&#730;.the hole is filled with 2%(20gram/liter)carbendazim(bavistin) solution  and also to plant healthy planting materials.,General,General,General
query to know fertilizer application of coconut,explained in details as per as package of practices,General,General,General
query to cultivation practices of ridge gourd,explained in details as per as package of practices,General,General,General
field cricket attack in  potato,spray chloropyriphos @ 2ml/lit at the base,General,General,General
quary related to fertilizer requirement for mustard,transfered to expert,General,General,General
problem of fungal wilt in brinjal.,advised him to apply captan @ one tea spoon / 2 liter of water.,General,General,General
non emergence of seed,spray borax@ 2 gm /lit water,General,General,General
query reagrding potato cultivation,explained details,General,General,General
asking about the fertilizer dose for mustard,"apply urea 12kg, super 30kg, mop 3kg and borax 1-1.3kg per one bigha",General,General,General
asking about to control fruit rot of bottle gourd,advised to spray dithan m-45 2ml/l,General,General,General
asking about the fertilizer dose of mustard,"advised to apply urea=12kg, ssp=30kg, mop=3kg and borax=1kg per bigha",General,General,General
asking about to control fruit borer of brinjal,advised to spray decis 2.5ml/l,General,General,General
asking about treatment of worms infestation in pig.,suggested to administer panacur 150 mg tab @ 1 tab/30 kg body weight .along with that administer liv-52 vet @ 5 ml twice daily.,General,General,General
asking about treatment worms infestation in piglet.,suggested to administer panacur 150 mg tab @ 1 tab /30 kg body weight. along with that administer liv-52 vet @ 5 ml twice daily.,General,General,General
wilt in tomato,spray streptomycin @ 1gm/10lit,General,General,General
wilt in pumkin,spray blitox 50 @ 2gm/lit,General,General,General
asking about feeding schedule in rabbit.lenth of gestation in rabbit.,explain in details about feeding schedule in rabbit.length of gestation in rabbit is 28-31 days.,General,General,General
asking about ferrtilizer in cocconut.,"suggested to mix urea 750 gm, super 1250 gm, potash 800 gm,borax 25 gm and cow dung 10 kg and then give the mixture by making  a circle at 4ft distance from the plant.",General,General,General
pest problem in bottle gourd,adviced to apply rogor @ 2 ml per liter of water followed by sparying of tracel 2 @ 2 gm per liter of water,General,General,General
asking about rabbit bite case.,suggested to take tetanus toxiod in case of rabbit bite case.,General,General,General
asking about cultural practices of mustard,explained in details as per as package of practices,General,General,General
asking about the fertilizer dose for banana.,"advised him to apply 120 gm urea,210 gm ssp & 275 mop.",General,General,General
asking about fertilizer application in knol-khol,given in details about the recommended dose,General,General,General
cultural practices of rose,explained briefly,General,General,General
nutrient management in coconut,"750g urea,1.25kg ssp,900g mop,25g borax/plant,apply twice in year",General,General,General
asking about micronutrient requirement,adviced to spray tracel @ 2 gm per litre of water,General,General,General
dideases in  poultry,advice to give 1. enrosin @ 1ml per litre water for 5 days,General,General,General
micronutrient deficiency in cabbage,adviced to apply borux @ 1 kg per bigha,General,General,General
asking about to control cutworm in potato field,adviced to apply malathion 5o dust powder,General,General,General
asking about disease of fish,adviced to apply lime 2 kg and turmeric powder 250 gm,General,General,General
asking about treatment of white diarrhoea in poultry.,suggested to administer tetracycline powder @ 5 gm /5 lit of water for 5 days.,General,General,General
asking about pest problem,advice to spray desis,General,General,General
asking about fungal wilt,advice to spray bavistin@ 2gm/l water,General,General,General
root rot of brinjal,spray bavistin @1gram/litre water,General,General,General
asking about different govt. scheme,explained details,General,General,General
querry related to fish pond construction and govt. aid in pond construction,explaind in details,General,General,General
asking about the termite,advised to apply tricel @ 2ml /litres of water,General,General,General
asking about fertilizer dose for chilli,"urea 20 kg, ssp 33 kg aru mop 13 kg",General,General,General
asking for bacterial wilt,drench the soil with agromycin @ 1 ml per 10 litre of water,General,General,General
asking about the potato cultivation practices and leaf curling disease,application of plantomycin @ 2 ml per litre of water,General,General,General
parasitic problem,advice to give 1. fentas plus tab 200 mg @ 1 tab in the morning and repeat after 15 days,General,General,General
asking about financial assistance for goat farming.,suggested to contact with nearest veterinarian and bank for loans & finances.,General,General,General
asking about the treatment of mastitis in a cow.,suggested to administer uddercef infusion in the affected area.,General,General,General
asking about cultural practices of boro rice,explained in details,General,General,General
asking about micronutrient management of chilli,advised to spray tracel 2ml/l,General,General,General
asking about the package of practices of mustard,given in details,General,General,General
control of wasp in pumpkin,advised to spray malathion 50 ec @ 2 ml / litre water,General,General,General
asking about top dressing by urea in mustard.,suggested to top dress by 3 kg urea/ bigha .,General,General,General
asking about fishery problem,explain details,General,General,General
asking about beekeeping,adviced to contact with kvk,General,General,General
asking about wilting of brinjal,adviced to apply streptomycin @ 1 gm per 10 litre of water,General,General,General
control of flower drop in pumkin,advised to spray dk-4(pgr) @ 5 ml / 25 litres of water,General,General,General
control of purple blotch in onion cultivation,advised to spray indofil m-45 @ 2 gram / litre of water,General,General,General
asking cultural practices,expain in details,General,General,General
asking bacterial wilt,drench the soil with agromycin @ 1 gm per 10 litre of water,General,General,General
asking about financial assistance for goat and pig farming.,suggested to contact with nearest veterinarian and anationalised bank for loans and finances.,General,General,General
asking qwerry for fishery credit,advicede to contact with local fishery deptt and local nationalized bank for the puirpose,General,General,General
asking about the management of a rabbit.,explain in details.,General,General,General
asking about treatment of respiratory disease in poultry.,suggested to administer enrox 2 ml /lit of water for 5 days.,General,General,General
bacterial wilt,spray bactinash 1 ml /litre water,General,General,General
vit. for potato,spray green harvest @ 1.5 gm /lit water,General,General,General
use of growth regulator in potato,spray multiplex potato special @ 2gm/lit,General,General,General
fungal rot in cauliflower,spray captaf @ 2gm/lit,General,General,General
panama wilt in banana,apply bavistin powder at the base @ 10gm/plant,General,General,General
asking about fruitfly problem in pumpkin,suggested to spray malathion 50ec @ 2ml + 1 gm of molases/litre of water,General,General,General
asking about the dose of enrox for broiler.,suggested to give 2 ml/lit of water for 5 days.,General,General,General
query about varities of boro rice,"adviced to cultivate arize 6444,krh2,drrh1 etc.",General,General,General
asking about the dose of tracel.,explain in details.,General,General,General
asking about cultural practices of mustard,explained in details,General,General,General
asking for cultural practices,explain in deatils,General,General,General
wanted to know the preparation of field procedure,explained in detail,General,General,General
asking about some micronutrient for potato,advised to apply multiplex potato @ 2-3 gram / litre of water,General,General,General
asking for water qwality mamangement,eexplained in details,General,General,General
asking about the source of information of rabbit.,"suggested to contact the farm manager, icar, barapani.",General,General,General
asking for immature fruit dropping,asking about the control measure to control immature fruit drop problem in coconut at the age of 5 years,General,General,General
asking about the recommended dose of mustard,"suggested to apply recommended dose like(irrigated codition)-urea @ 18 kilogram,ssp @ 33 kilogram,mop @ 9 kilogra,compost @ 2-3 quintle/ bigha",General,General,General
query about micronutrient management of mustard,adviced to spray tracel 2ml/l,General,General,General
query to control cutworm in potato,adviced to apply malathion,General,General,General
asking about culture practice,explained details,General,General,General
asking aboput transplantation time of onion,adviced him to transplant after 6-8 weeks after sowing,General,General,General
asking for fert dose,suggested him to apply 15 kg urea and 35 kg ssp per bigha,General,General,General
asking about the source of information of pure banaraja breed.,"suggested to contact the farm manager,sird, khanapara, ghy-22.",General,General,General
asking about micro nutrient management of brinjal,adviced to spray tracel 2ml/l,General,General,General
package of practice in mushroom,explained in details,General,General,General
wanted to know the planting procedure of coriander,explained in detail,General,General,General
pest attack,spray malatjion 50 ec @ 2ml /lit water,General,General,General
pest problem in potato,adviced to apply tricel @ 3 ml per liter of water,General,General,General
diseases in potato,adviced to apply indofil m 45 and ridomil m 72 @ 2 gm per liter of liter alternately at 15 days interval,General,General,General
asking about blight problem in potato,suggested to spray ridomil/matco @ 2gm/litre of water,General,General,General
agriculture/mustard seed,forwarded to the expert,General,General,General
asking about disease problem in mustard,suggested to spray saaf @ 1gm/litre of water,General,General,General
asking for fertilizer requirment,explained in detail,General,General,General
asking for fungal wilt problem,drench the soil with captan @ 2 gm per litre of water,General,General,General
asking about fertilizer dose of coconut,"suggested fertilizer dose as urea-750gm,ssp-1250gm,mop-900gm,borax-50gm,compost-15kg.apply as ring method 1.5m from the base of the plant",General,General,General
bunchy top desease,spray rogor @ 2 ml mixed with one litre water,General,General,General
asking about wilting problem in potato,suggested to soil drenching with bavistin @ 1gm/litre of water,General,General,General
asking about blight problem,advice to spray indofil m 45 @2gm/l water,General,General,General
micronutrient deficiency,spray crop booster @2 gram / litre water,General,General,General
fungal wilt of brinjal,spray bavistin or captan @2 gram per liter water,General,General,General
micronutrient deficiency,explained in detail,General,General,General
micronutrient requirement in mustard,adviced to spray tracel @ 2 gm per litre of water,General,General,General
asking about aphids in bottle gourd,adviced to spray malathion 50 ec 2ml/l,General,General,General
cultural practice of mustard,transfered to expert,General,General,General
query regarding mustard cultivation,explained details,General,General,General
asking about the kamrup kvk address,"given him as kvk kamrup, aau, kamrup, guwahati, assam -781017, phone: 0361-2842513,",General,General,General
asking for insect pest problem,adviced for application of ustad @ 2 gm/litre of water,General,General,General
asking about fertilizer dose of mustard,"suggested fertilizer dose as urea-12kg,ssp-30kg,mop-3kg,borax-1kg/bigha",General,General,General
asking for disease problem,adviced for application of streptomycin @ 1 gm/10 litrees of water,General,General,General
asking about the paddy cultivation practices of rice,explain in details the package of practices,General,General,General
asking cultural practices,explain breifly,General,General,General
asking about the treatment of  disease,answer is given in details,General,General,General
asking about micronutrient management of mustard,adviced to spray tracel 2ml/l,General,General,General
asking about micronuitrient for potato,suggested to spray multiplex potato @ 2gm/litre of water,General,General,General
asking about cultivation practices of pomegranate,explained him in details,General,General,General
asking about vit. for potato,spray bipul @ 2 ml /lit. water,General,General,General
want to know about hybrid variety of papaya,explained in detail,General,General,General
disease in beans,adviced to apply bavistin @ 2 gm per liter of water,General,General,General
asking about fertilizer application of mustard,explained in details,General,General,General
asking about the management of a pig.,explain in details.,General,General,General
asking about to control mosaic in chilli,adviced to spray antracol 1ml + prokissan 3ml/l,General,General,General
asking about blight problem,advice to spray indofl m 45,General,General,General
asking about new id no.,give a id no.,General,General,General
asking about fertilzer dose,"advice to spray urea-18 kg,ssp-27 kg,mop-6 kg/bigha",General,General,General
asking about fungal  wilt problem,advice to spray bavistin@ 2gm/l water,General,General,General
fungal wilt control measure,spray bavistine @ 1ml /lit water,General,General,General
blight of potato,spray indofil m -45 @2 gram/ litre water,General,General,General
query about cultural practices of bean,explained in details,General,General,General
micronutrient deficiency,spray tracel-2 @ 2 gram mixed with onew litre water,General,General,General
asking about becterial wilt problem in brinjal,suggested to soil drenching with streptocyclin @ 100ppm,General,General,General
asking about shoot borer problem in brinjal,suggested to spray coragen @ 1ml/5 litres of water,General,General,General
asking about the treatment of duck disease,answer is given in details,General,General,General
disease in pea,adviced to apply blitox 50 @ 2 gm per liter of water,General,General,General
asking about bacterial blight problem,advice to spray streptomycin@ 1gm/10l water,General,General,General
diseases in potato,adviced to apply streptomycin @ 1 gm per ten liter of water,General,General,General
query regarding control measures of blight of potato,suggested indofil m 45 @ 2gm per litr of water,General,General,General
asking about management of bambo.,suggested to contact with kvk kahikuchi.,General,General,General
asking about bacterial infection,advice to spray streptocyclin @1gm/10l water,General,General,General
package of practice,explained i details,General,General,General
pest problem in chilli,adviced to apply malathion 50 ec @ 2 ml per liter of water,General,General,General
query regarding kisan call centre,explain in detail,General,General,General
asking about pesticides,explain details,General,General,General
query related to micronutrient requirement for fish,explained in detail,General,General,General
want to know seed treatment in peas,adviced to use indofil m 45 @ 5 gm per kg of seed,General,General,General
asking about micronutrient for mustard,suggested to spray green harvest crop booster @ 2gm/litre of water,General,General,General
query related to culture practice of potato,transfered to expert,General,General,General
disease in potato,transfered to expert,General,General,General
asking about micronutrient requirement,adviced to spray green harvest crop booster @ 2 gm per litre of water,General,General,General
asking about good variety of boro paddy,adviced to use arize 6444,General,General,General
growth regulator in mustard,spray tracel2 @ 2gm/lit,General,General,General
cultural practices of pumpkin,explained details,General,General,General
asking about fertilizer dose for mustard,"adviced to apply urea 12 kg, ssp 30 kg, mop 3 kg and borux 1 kg per bigha",General,General,General
rodent attack in potato,suggested to apply celphos,General,General,General
asking about leaf curling,adviced to spray rogor @ 2 gm per litre of water and multiplex potato @ 2 gm per litre of water,General,General,General
asking about the blight disease,application of bavistin @ 2 gram per litre of water,General,General,General
cultural practice in potato/ beans,explained in details,General,General,General
soil insect in potato,spray tricel @ 2ml/lit,General,General,General
fungal and bacterial wilt in potato/tomato & brinjal,explained in details,General,General,General
asking about good breed of layer chicks for farming.,banraja is the good breed as layer and contact with s.i.r.d. for the chicks.,General,General,General
asking about the control of fungal wilt in bottle gourd.,suggested to apply the captaf @ 2gm/lit of water.,General,General,General
control of termite in the root portion of chilli,advised to spray tricel 20 ec @ 2 ml / litre of water,General,General,General
asking about the seed rate of cucumber.,advised him to select 2.5 kg / ha,General,General,General
asking about ready broiler management.,explain in details about ready broiler management.,General,General,General
query regarding control measures of mustard saw fly,suggested desis @ 2ml per litr of water,General,General,General
asking about fertilizer dose of litchi,explained him in details,General,General,General
control of phytophthora foot rot in betel vine,advised to apply bliotx-50 @ gram / litre of water covering the root portion,General,General,General
asking about the time of sowing,explain in details,General,General,General
asking about seed bed preparation of hybrid rice,explained him in details,General,General,General
asking about vitamin and mineral suppliment for bottle gourd.,suggested to mix tracel 2 gm/lit of water and then spray.,General,General,General
problem of leaf rot in betel vine.,advised him to apply bordeux mixture at the base of the plant.,General,General,General
